iter	MAE
0	0.2497493791
1	0.2494724335
2	0.2492407621
3	0.2490107917
4	0.2488004277
5	0.2485920432
6	0.2484370722
7	0.2482687399
8	0.2480446419
9	0.2478566797
10	0.2476478683
11	0.2474740721
12	0.2473248887
13	0.2470699584
14	0.2468465594
15	0.2467071382
16	0.2465758614
17	0.2464336127
18	0.2462999368
19	0.246155469
20	0.2460116626
21	0.2458592278
22	0.2456760106
23	0.2454784013
24	0.245267393
25	0.24508196
26	0.2449518533
27	0.2447732015
28	0.2446435265
29	0.2445100243
30	0.2443104164
31	0.244155991
32	0.2440724501
33	0.2439785679
34	0.24392419
35	0.2437870602
36	0.2437200418
37	0.2436098649
38	0.2434971588
39	0.243382343
40	0.2432036606
41	0.2430739389
42	0.242981962
43	0.2428595954
44	0.2428005304
45	0.2426925928
46	0.2426220496
47	0.2425066141
48	0.2423964224
49	0.2422609028
50	0.2421110164
51	0.2419787158
52	0.2419039226
53	0.2417955979
54	0.2417101012
55	0.2416208218
56	0.2415807879
57	0.2414406433
58	0.2413558477
59	0.2412305834
60	0.2411430029
61	0.2409717501
62	0.2408625065
63	0.2407610302
64	0.2406730831
65	0.2405379611
66	0.2404346235
67	0.240366387
68	0.2402530665
69	0.2401789029
70	0.240098074
71	0.2400306559
72	0.2399555394
73	0.2399103798
74	0.2398080297
75	0.2396835946
76	0.2395642892
77	0.2394625126
78	0.2393236405
79	0.239257325
80	0.2391574229
81	0.2390674277
82	0.2389690446
83	0.23892998
84	0.2388621219
85	0.2387266867
86	0.2386675503
87	0.2385211195
88	0.238447304
89	0.2383263376
90	0.2382339046
91	0.2381613126
92	0.2380915434
93	0.2380260003
94	0.2379382327
95	0.2378518283
96	0.2377430673
97	0.2375864888
98	0.237489359
99	0.2374045349
100	0.2373148027
101	0.237238858
102	0.2371462175
103	0.2370578177
104	0.2369690984
105	0.2369319989
106	0.2368581621
107	0.2368060216
108	0.2367017536
109	0.2365906555
110	0.2365095148
111	0.2364330932
112	0.2363228672
113	0.2362565178
114	0.2361851742
115	0.2361264817
116	0.2360834204
117	0.23598855
118	0.235910357
119	0.2357823371
120	0.2357066374
121	0.235586775
122	0.2355337989
123	0.2354710494
124	0.2353948275
125	0.2352362917
126	0.2351687881
127	0.235119885
128	0.2350413107
129	0.2349717443
130	0.2349050603
131	0.2348324287
132	0.2347891371
133	0.2347205787
134	0.2346610227
135	0.234623014
136	0.2345582725
137	0.2345010589
138	0.2344433967
139	0.2343405875
140	0.2342406724
141	0.234174856
142	0.2340892753
143	0.2340128737
144	0.2339279763
145	0.2338084215
146	0.2337655855
147	0.2337255733
148	0.2336250821
149	0.2335577719
150	0.2334926194
151	0.2334004398
152	0.2333393349
153	0.233282904
154	0.2332262505
155	0.2331247208
156	0.2330290228
157	0.2328954944
158	0.2327954083
159	0.2327116385
160	0.2326288989
161	0.2325882144
162	0.23253431
163	0.2324836656
164	0.2324033734
165	0.2323400386
166	0.232266146
167	0.2321729914
168	0.2321006019
169	0.232050535
170	0.2319994704
171	0.2319213701
172	0.2318449849
173	0.2318015405
174	0.2317318624
175	0.2316757818
176	0.2316138929
177	0.231539038
178	0.2314696869
179	0.2314271302
180	0.2313622031
181	0.2313236018
182	0.231266274
183	0.2312047457
184	0.2311183322
185	0.2310555789
186	0.2309619287
187	0.2309065873
188	0.2308462703
189	0.2307568463
190	0.23070702
191	0.2306045621
192	0.230544967
193	0.2304540171
194	0.2303920908
195	0.2303244298
196	0.230286992
197	0.230201503
198	0.230134851
199	0.230049556
200	0.2299870435
201	0.2299075679
202	0.2298526671
203	0.2297831988
204	0.2297049605
205	0.2296014941
206	0.2295143562
207	0.2294418443
208	0.229385957
209	0.2293149371
210	0.2292680921
211	0.2292062852
212	0.2291428463
213	0.2290850261
214	0.2290287879
215	0.2289652131
216	0.2289206872
217	0.2288699725
218	0.228821867
219	0.2287657813
220	0.2286921208
221	0.228574861
222	0.2285199318
223	0.2284517316
224	0.228361731
225	0.2283089692
226	0.2282514614
227	0.2280876072
228	0.2280341067
229	0.2279707177
230	0.2279000507
231	0.2278456285
232	0.2277640927
233	0.2276672946
234	0.2275885138
235	0.2275065721
236	0.2273978547
237	0.2273142272
238	0.2272589352
239	0.227190496
240	0.2271433033
241	0.2270707077
242	0.2269988722
243	0.2269483728
244	0.2268733145
245	0.2268231772
246	0.2267721916
247	0.2267239526
248	0.2266554854
249	0.2265820686
250	0.226506573
251	0.2264181814
252	0.2263398985
253	0.2263036768
254	0.2262039827
255	0.2261040129
256	0.2260422668
257	0.2259445148
258	0.2259145779
259	0.2258385025
260	0.225748758
261	0.2256261843
262	0.2254812757
263	0.2253947424
264	0.2253355345
265	0.2252882424
266	0.2252214412
267	0.2251322217
268	0.2250363466
269	0.224972765
270	0.2249242371
271	0.224871868
272	0.2247964576
273	0.2247186374
274	0.2246433189
275	0.2245816129
276	0.2244912754
277	0.2243961661
278	0.2243265843
279	0.2242469783
280	0.2241638074
281	0.224079166
282	0.2240164596
283	0.2239554531
284	0.2238861968
285	0.2238480605
286	0.2237779518
287	0.2237046018
288	0.2236194704
289	0.2235751288
290	0.2234821219
291	0.2234182742
292	0.2233044981
293	0.2232305152
294	0.223142321
295	0.2230609909
296	0.2229423996
297	0.2228875845
298	0.222813622
299	0.2227203531
