iter	Passed	Remaining
0	3	1050
1	6	1034
2	10	1058
3	14	1037
4	18	1066
5	22	1086
6	26	1128
7	31	1134
8	34	1107
9	37	1100
10	41	1088
11	45	1081
12	48	1073
13	52	1068
14	56	1079
15	60	1068
16	64	1078
17	68	1076
18	72	1068
19	76	1064
20	79	1057
21	83	1052
22	87	1048
23	90	1042
24	94	1034
25	97	1029
26	101	1024
27	105	1022
28	110	1034
29	114	1029
30	118	1026
31	121	1020
32	125	1013
33	128	1005
34	131	999
35	135	993
36	140	996
37	145	1004
38	149	1002
39	153	996
40	157	993
41	160	988
42	164	983
43	168	978
44	171	972
45	175	966
46	178	963
47	182	958
48	185	951
49	189	946
50	192	941
51	196	934
52	200	932
53	203	927
54	207	923
55	210	919
56	214	913
57	217	908
58	221	903
59	225	901
60	229	897
61	232	892
62	236	888
63	239	884
64	243	881
65	247	877
66	251	873
67	254	868
68	258	864
69	263	864
70	267	862
71	271	859
72	275	856
73	279	853
74	283	850
75	287	846
76	290	841
77	294	837
78	297	832
79	301	829
80	305	826
81	309	821
82	312	817
83	316	812
84	319	808
85	323	804
86	326	800
87	330	796
88	334	793
89	337	788
90	342	787
91	347	784
92	350	780
93	354	776
94	357	771
95	361	767
96	365	764
97	368	760
98	372	755
99	375	751
100	378	746
101	382	743
102	386	739
103	390	735
104	393	731
105	398	728
106	401	724
107	405	720
108	409	717
109	412	712
110	416	709
111	419	704
112	423	701
113	427	698
114	431	693
115	434	689
116	438	685
117	441	681
118	445	677
119	449	674
120	452	669
121	456	666
122	460	663
123	466	661
124	469	657
125	473	653
126	476	649
127	480	645
128	484	641
129	487	637
130	491	634
131	495	631
132	499	626
133	503	623
134	507	620
135	512	617
136	516	614
137	522	613
138	526	609
139	530	606
140	534	602
141	538	599
142	543	596
143	547	592
144	550	588
145	554	584
146	558	581
147	562	577
148	566	574
149	570	570
150	573	566
151	577	562
152	582	559
153	587	556
154	590	552
155	594	548
156	598	545
157	601	540
158	605	537
159	609	533
160	613	529
161	617	526
162	621	522
163	625	518
164	629	514
165	633	511
166	638	508
167	641	504
168	645	500
169	651	498
170	655	494
171	659	490
172	662	486
173	666	482
174	670	478
175	674	474
176	677	470
177	682	467
178	686	464
179	690	460
180	695	457
181	699	453
182	702	449
183	708	446
184	713	443
185	716	439
186	720	435
187	724	431
188	728	427
189	732	423
190	736	420
191	742	417
192	745	413
193	750	410
194	754	406
195	757	402
196	761	398
197	765	394
198	768	390
199	772	386
200	775	382
201	779	378
202	782	374
203	786	369
204	789	365
205	793	361
206	796	357
207	800	353
208	804	350
209	807	346
210	811	342
211	814	338
212	818	334
213	822	330
214	825	326
215	830	323
216	834	319
217	838	315
218	842	311
219	845	307
220	850	303
221	853	299
222	857	296
223	861	292
224	864	288
225	868	284
226	871	280
227	875	276
228	878	272
229	882	268
230	886	264
231	890	260
232	893	257
233	897	253
234	901	249
235	904	245
236	908	241
237	912	237
238	915	233
239	918	229
240	921	225
241	925	221
242	928	217
243	932	213
244	935	210
245	939	206
246	942	202
247	945	198
248	950	194
249	954	190
250	958	187
251	962	183
252	966	179
253	970	175
254	974	171
255	977	168
256	981	164
257	984	160
258	987	156
259	992	152
260	996	148
261	1001	145
262	1005	141
263	1008	137
264	1013	133
265	1016	129
266	1020	126
267	1023	122
268	1027	118
269	1031	114
270	1038	111
271	1041	107
272	1045	103
273	1048	99
274	1052	95
275	1056	91
276	1062	88
277	1067	84
278	1071	80
279	1075	76
280	1081	73
281	1085	69
282	1088	65
283	1092	61
284	1097	57
285	1100	53
286	1104	50
287	1107	46
288	1111	42
289	1115	38
290	1118	34
291	1122	30
292	1126	26
293	1129	23
294	1135	19
295	1139	15
296	1142	11
297	1146	7
298	1149	3
299	1153	0
